time,angle,ctrl_BIClong,ctrl_BICshort,ctrl_BRA,ctrl_TRIlong,ctrl_TRIlat,ctrl_TRImed,tau_id,sim_angle_deg,sim_vel_deg_s,sim_acc_deg_s2,used_angle_deg,used_vel_deg_s,used_acc_deg_s2
0.0,10.038953,2.6793801e-08,3.345613e-08,1.42248675e-08,0.048143428,0.14957502,0.20825532,0.44894823,10.0936165,12.987685,909.9404,9.963739206457166,4.347219229204581,32.169179527853515
0.01,10.038953,0.0,0.0,0.0,0.044947896,0.1339711,0.1824768,0.44270095,10.270351,17.673504,493.4705,10.007545687201711,4.661524526882296,29.14308283057521
0.02,10.054549999999999,0.0,0.0,0.0,0.04328377,0.12822321,0.1743694,0.4359022,10.465793,19.544111,196.99661,10.055143485580876,4.942584287405845,25.823932057253238
0.03,10.115432,0.0,0.0,0.0,0.04238699,0.12616777,0.17218763,0.42863578,10.659965,19.417229,-13.362162,10.105928903643923,5.186917894631268,22.185699660590526
0.04,10.1232665,0.0,0.0,0.0,0.04187867,0.12574238,0.17244995,0.4209859,10.83888,17.89147,-160.68,10.159298243440109,5.391044732414611,18.202358093289995
0.05,10.141342999999999,0.0,0.0,0.0,0.041614313,0.12597606,0.17348808,0.4130373,10.992919,15.403963,-261.9631,10.214647807018697,5.551484184611914,13.847879808054564
0.06,10.179612,0.0,0.0,3.2956007e-10,0.041456748,0.12636273,0.17459075,0.40487525,11.115672,12.275343,-329.47968,10.271373896428944,5.664755635079221,9.09623725758717
0.07,10.268282,0.0,0.0,9.739408e-10,0.04133877,0.12669846,0.17549656,0.39658573,11.203117,8.7445345,-371.83478,10.328872813720112,5.727378467672576,3.9214028945907393
0.08,10.3238125,0.0,0.0,4.059131e-05,0.041224994,0.12689923,0.17611447,0.3882554,11.253034,4.9915824,-395.22897,10.386540860941459,5.73587206624802,-1.841744079716784
0.09,10.405312,0.0,0.0,0.00031464838,0.0411069,0.12696373,0.17646343,0.37997147,11.264567,1.1534331,-404.20126,10.443774340142246,5.686755814661597,-7.960336666091523
0.1,10.5480105,0.0,0.0,0.00052809104,0.04095052,0.12682629,0.17647803,0.37182206,11.237908,-2.6659074,-402.2205,10.49996955337173,5.57654909676935,-14.546606836128973
0.11,10.586336,0.0,0.0,0.0006978692,0.040751483,0.12649359,0.17618093,0.36389574,11.174055,-6.385347,-391.69974,10.554522802679175,5.401771296427321,-21.729185100409538
0.12,10.6875865,0.0,0.0,0.00083578634,0.040509015,0.12597877,0.17560007,0.35628185,11.074639,-9.941636,-374.5182,10.606830390113837,5.15894179749154,-29.570735554944644
0.13,10.7582285,0.0004968235,0.0003776529,0.0009412654,0.04025882,0.12538682,0.17487918,0.3490702,10.941782,-13.285702,-352.16858,10.656288617724977,4.8270923805076595,-38.04804930183533
0.14,10.787052,0.0016289976,0.0017930069,0.0010159168,0.040027626,0.12480067,0.17413455,0.3423511,10.777954,-16.382788,-326.15875,10.702293787561855,4.403506956033896,-47.1162746119441
0.15,10.8099975,0.0026583574,0.0030799657,0.0010776415,0.039791867,0.12417285,0.17331475,0.33621538,10.585982,-19.197153,-296.38495,10.74424220167373,3.8952328655616206,-56.53548451739947
0.16,10.8099975,0.0035982695,0.004253182,0.0011340892,0.039576527,0.123575345,0.17251757,0.33075395,10.36902,-21.69622,-263.1806,10.781530162109862,3.2972292536196854,-66.01749548541085
0.17,10.781748749999998,0.0044868086,0.0053603873,0.0011875785,0.03937392,0.12299672,0.17173429,0.32605806,10.130375,-23.864525,-228.34744,10.81355397091951,2.5980136782979875,-75.23568698772387
0.18,10.7832365,0.0053448225,0.006427827,0.0012393676,0.039179955,0.1224317,0.17096195,0.3222188,9.873395,-25.69799,-193.0849,10.839709930151935,1.795902439481333,-83.73608557739621
0.19,10.808498,0.0061778724,0.0074626477,0.0012897905,0.03899367,0.121881194,0.17020416,0.31932724,9.889738,1.634264,2878.4006,10.859394341856087,0.9116679393762412,-91.07980697692437
0.2,10.822275000000001,0.0054317303,0.0065341573,0.0012446338,0.03913933,0.12217851,0.17053428,0.3180873,9.915275,2.5537026,96.82746,10.867831040578261,-0.04954579785410244,-97.00503836671938
0.21,10.822275000000001,0.0049174707,0.0058948197,0.0012134275,0.039242808,0.1224053,0.17079942,0.3183464,9.935211,1.9936515,-58.979824,10.86606831188803,-1.0634288081497214,-101.37364616833757
